Y1,Y2,C2_transformed,C31_transformed,C61_transformed,L5_transformed
0.000,1.000,1.000,1.000,0.963,0.095
1.000,0.000,0.000,0.000,-0.652,0.802
1.000,0.000,1.000,0.000,-0.652,-0.992
1.000,1.000,1.000,0.000,-0.652,-0.668
0.000,1.000,1.000,1.000,0.075,0.410
0.000,1.000,1.000,1.000,-0.652,-1.340
1.000,1.000,1.000,0.000,-0.652,-0.823
1.000,0.000,0.000,0.000,-0.652,0.648
1.000,1.000,1.000,0.000,-0.652,-0.213
1.000,0.000,1.000,1.000,-0.652,0.338
1.000,1.000,1.000,0.000,-0.652,-0.691
0.000,1.000,1.000,1.000,0.317,-0.535
0.000,1.000,1.000,0.000,0.612,0.827
1.000,1.000,1.000,1.000,-0.652,1.780
1.000,1.000,1.000,1.000,-0.652,-1.438
0.000,1.000,1.000,1.000,-0.652,-1.423
1.000,1.000,1.000,1.000,-0.652,1.074
1.000,1.000,1.000,1.000,-0.652,-1.260
0.000,1.000,1.000,1.000,1.164,-0.842
1.000,0.000,1.000,0.000,-0.652,0.338
0.000,1.000,1.000,1.000,0.317,-1.427
0.000,1.000,1.000,0.000,-0.652,1.936
1.000,1.000,1.000,0.000,-0.652,-1.104
0.000,1.000,1.000,0.000,-0.652,-1.119
1.000,1.000,1.000,0.000,-0.652,0.710
1.000,1.000,1.000,1.000,-0.652,-0.906
0.000,1.000,1.000,0.000,0.113,1.158
1.000,1.000,1.000,1.000,-0.652,-0.026
1.000,1.000,1.000,0.000,-0.652,-0.191
1.000,0.000,1.000,1.000,-0.652,-1.415
0.000,1.000,1.000,0.000,0.559,-1.063
1.000,1.000,0.000,1.000,-0.652,-0.881
0.000,1.000,1.000,0.000,2.677,0.816
0.000,0.000,1.000,0.000,-0.652,0.213
0.000,1.000,1.000,1.000,0.526,-0.793
0.000,1.000,1.000,1.000,2.677,0.436
0.000,1.000,1.000,0.000,-0.237,-0.846
0.000,1.000,1.000,1.000,1.770,-0.442
0.000,1.000,1.000,1.000,-0.198,-1.496
0.000,1.000,1.000,1.000,2.461,-0.240
1.000,1.000,1.000,1.000,-0.652,-0.130
0.000,1.000,1.000,1.000,2.677,1.990
1.000,1.000,1.000,1.000,-0.652,0.848
1.000,0.000,1.000,0.000,-0.652,0.016
1.000,1.000,1.000,0.000,-0.652,0.125
0.000,1.000,1.000,0.000,2.577,-0.833
1.000,1.000,1.000,0.000,-0.652,1.065
1.000,0.000,1.000,0.000,-0.652,2.463
0.000,1.000,1.000,0.000,2.254,-0.938
1.000,1.000,1.000,0.000,-0.652,-0.297
1.000,0.000,1.000,0.000,-0.652,-0.978
0.000,1.000,1.000,1.000,1.285,-1.008
1.000,0.000,1.000,0.000,-0.652,-0.887
0.000,1.000,1.000,1.000,0.386,2.121
1.000,0.000,1.000,0.000,-0.652,-0.567
0.000,0.000,1.000,1.000,-0.127,-1.222
1.000,0.000,0.000,0.000,-0.652,-1.102
0.000,1.000,1.000,1.000,0.203,-1.115
1.000,0.000,1.000,0.000,-0.652,1.771
0.000,1.000,1.000,0.000,0.009,-1.008
1.000,1.000,1.000,0.000,-0.652,1.422
1.000,1.000,1.000,0.000,-0.652,-0.397
1.000,0.000,1.000,0.000,-0.652,-0.161
0.000,1.000,1.000,1.000,2.677,1.779
0.000,1.000,1.000,1.000,2.677,0.442
0.000,1.000,1.000,0.000,-0.652,-1.309
0.000,1.000,1.000,0.000,1.713,0.349
0.000,1.000,1.000,1.000,1.990,0.223
1.000,1.000,1.000,1.000,-0.652,0.020
0.000,1.000,1.000,1.000,1.912,-1.208
0.000,1.000,1.000,0.000,-0.652,-0.561
0.000,1.000,0.000,0.000,0.905,-0.856
1.000,0.000,0.000,1.000,-0.652,1.146
1.000,0.000,1.000,1.000,-0.652,0.466
0.000,0.000,1.000,1.000,-0.652,-0.158
0.000,1.000,1.000,1.000,0.801,-1.573
1.000,1.000,1.000,0.000,-0.652,0.797
1.000,0.000,0.000,0.000,-0.652,-0.429
0.000,1.000,1.000,0.000,-0.652,-0.397
1.000,1.000,1.000,0.000,-0.652,-0.587
0.000,1.000,1.000,1.000,0.256,1.330
0.000,1.000,0.000,1.000,-0.167,0.530
1.000,1.000,1.000,1.000,-0.652,0.514
0.000,1.000,1.000,0.000,-0.211,-1.198
1.000,1.000,0.000,0.000,-0.652,0.318
1.000,1.000,1.000,0.000,-0.652,0.593
0.000,1.000,1.000,1.000,1.057,-0.303
1.000,0.000,1.000,1.000,-0.652,0.173
1.000,1.000,1.000,0.000,-0.652,1.308
1.000,1.000,1.000,1.000,-0.652,0.831
0.000,1.000,0.000,0.000,1.285,-0.006
1.000,0.000,1.000,1.000,-0.652,-0.256
0.000,0.000,1.000,0.000,-0.652,-1.146
0.000,1.000,0.000,1.000,0.155,-0.825
0.000,1.000,1.000,0.000,2.677,-1.405
0.000,0.000,0.000,1.000,1.285,0.917
0.000,1.000,0.000,1.000,0.669,-0.201
1.000,0.000,1.000,1.000,-0.652,0.812
0.000,1.000,1.000,1.000,2.677,-0.496
0.000,1.000,0.000,0.000,-0.652,-1.297
1.000,1.000,1.000,0.000,-0.652,-0.014
0.000,1.000,1.000,0.000,0.466,-0.197
0.000,0.000,1.000,1.000,-0.652,0.334
0.000,1.000,1.000,0.000,0.559,0.772
0.000,0.000,1.000,1.000,-0.652,-0.118
1.000,1.000,1.000,0.000,-0.652,-0.513
1.000,0.000,1.000,0.000,-0.652,-0.133
1.000,0.000,1.000,0.000,-0.652,2.463
0.000,0.000,1.000,0.000,-0.652,-0.016
1.000,1.000,1.000,0.000,-0.652,1.001
0.000,1.000,1.000,0.000,0.155,-0.131
1.000,1.000,0.000,1.000,-0.652,0.161
1.000,0.000,1.000,0.000,-0.652,2.463
1.000,1.000,1.000,1.000,-0.652,1.127
1.000,1.000,0.000,0.000,-0.652,0.188
0.000,1.000,1.000,1.000,0.386,0.970
1.000,1.000,1.000,0.000,-0.652,-0.939
0.000,0.000,1.000,1.000,-0.652,-0.542
0.000,1.000,1.000,1.000,1.164,2.458
0.000,1.000,1.000,0.000,0.317,-0.094
0.000,1.000,1.000,1.000,-0.652,-0.036
1.000,1.000,1.000,1.000,-0.652,1.880
0.000,1.000,1.000,1.000,0.256,0.160
1.000,0.000,1.000,1.000,-0.652,-0.131
1.000,0.000,1.000,1.000,-0.652,-1.373
1.000,1.000,1.000,1.000,-0.652,-0.401
0.000,0.000,1.000,0.000,-0.046,0.530
0.000,1.000,1.000,0.000,2.650,0.596
1.000,1.000,1.000,1.000,-0.652,0.112
1.000,1.000,1.000,0.000,-0.652,1.328
1.000,1.000,0.000,0.000,-0.652,-0.257
1.000,1.000,1.000,0.000,-0.652,-0.525
0.000,1.000,1.000,1.000,0.669,0.025
0.000,1.000,1.000,0.000,0.317,-0.142
0.000,1.000,1.000,0.000,1.164,0.030
0.000,0.000,0.000,1.000,0.466,1.025
0.000,1.000,1.000,0.000,0.559,2.463
1.000,1.000,1.000,0.000,-0.652,1.132
0.000,0.000,1.000,1.000,0.203,-0.503
0.000,0.000,1.000,1.000,1.285,-1.185
0.000,1.000,1.000,1.000,-0.020,-0.082
